optimizer,data,filter1,filter2,time,train_parameters,nontrain_parameters,eval_time
gradual,normal,48,128,708.0940201282501,795937,352,0.03892374038696289
gradual,normal,48,192,694.6965947151184,1180705,480,0.04675865173339844
gradual,normal,48,256,680.4477090835571,1570593,608,0.04922318458557129
gradual,normal,64,128,734.7971925735474,1057665,384,0.058075666427612305
gradual,normal,64,192,751.6499738693237,1566337,512,0.0474393367767334
gradual,normal,64,256,720.2498157024384,2080129,640,0.05002284049987793
gradual,normal,96,128,713.6763324737549,1581121,448,0.07029604911804199
gradual,normal,96,192,751.7716805934906,2337601,576,0.04565787315368652
gradual,normal,96,256,785.4174287319182,3099201,704,0.04088091850280762
fixed,normal,48,128,710.3598318099976,795937,352,0.03800654411315918
fixed,normal,48,192,710.7299838066101,1180705,480,0.04587221145629883
fixed,normal,48,256,739.4699106216431,1570593,608,0.04482579231262207
fixed,normal,64,128,750.2764940261841,1057665,384,0.05775308609008789
fixed,normal,64,192,2224.877636909485,1566337,512,0.048952341079711914
fixed,normal,64,256,714.1316683292389,2080129,640,0.0496211051940918
fixed,normal,96,128,711.7200264930725,1581121,448,0.07077264785766602
fixed,normal,96,192,719.4483547210692,2337601,576,0.044827938079833984
fixed,normal,96,256,763.6331295967102,3099201,704,0.041542768478393555
gradual,weighted,48,128,718.8870496749878,795937,352,0.037720680236816406
gradual,weighted,48,192,718.7175860404968,1180705,480,0.04590201377868652
gradual,weighted,48,256,715.2618052959442,1570593,608,0.04679298400878906
gradual,weighted,64,128,733.2657661437987,1057665,384,0.058802127838134766
gradual,weighted,64,192,761.2942824363707,1566337,512,0.04848837852478027
gradual,weighted,64,256,729.5430071353912,2080129,640,0.04976487159729004
gradual,weighted,96,128,768.5210154056549,1581121,448,0.07014036178588867
gradual,weighted,96,192,760.0236501693726,2337601,576,0.04589700698852539
gradual,weighted,96,256,807.8269383907318,3099201,704,0.04235529899597168
fixed,weighted,48,128,761.6880481243134,795937,352,0.03764462471008301
fixed,weighted,48,192,738.3593139648438,1180705,480,0.04740762710571289
fixed,weighted,48,256,714.2124578952789,1570593,608,0.046640634536743164
fixed,weighted,64,128,687.9187469482422,1057665,384,0.05810666084289551
fixed,weighted,64,192,685.9298079013823,1566337,512,0.04839372634887695
fixed,weighted,64,256,678.3100924491882,2080129,640,0.04928922653198242
fixed,weighted,96,128,683.9780154228209,1581121,448,0.06988000869750977
fixed,weighted,96,192,700.7875509262085,2337601,576,0.04499053955078125
fixed,weighted,96,256,751.4661574363707,3099201,704,0.06189107894897461
